Accession Number	Phage Name	Phage Family	Bacterial Host Genus	Bacterial Host Species	Phage2014_train	Phage2014_eval Reference Sequence
NC_016567	Vibrio phage SIO-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Vibrio	Vibrio	yes	no	NC_016567
NC_017969	Escherichia phage bV_EcoS_AKFV33	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;T5likevirus; unclassified T5likevirus.	Escherichia	Escherichia coli	yes	no	NC_017969
NC_017971	Pseudomonas phage tf	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Pseudomonas	Pseudomonas putida	yes	no	NC_017971
NC_017973	Mycobacterium phage SWU1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	NC_001335
NC_017984	Acinetobacter bacteriophage AP22	Viruses; unclassified phages.	Acinetobacter	Acinetobacter baumannii	yes	no	NC_017984
NC_018083	Clostridium phage phiCPV4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; unclassified Picovirinae.	Clostridium	Clostridium perfringens	yes	no	NC_017980
NC_018836	Streptomyces phage phiHau3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptomyces	Streptomyces coelicolor	yes	no	NC_018836
NC_018845	Propionibacterium phage P104A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Propionibacterium	Propionibacterium acnes	yes	no	NC_018845
NC_018846	Escherichia phage P13374	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Escherichia	Escherichia coli	yes	no	NC_018846
NC_018857	Bacillus phage BPS13	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Bacillus	Bacillus cereus	yes	no	NC_018857
NC_018861	Campylobacter phage CP30A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Campylobacter	Campylobacter jejuni	yes	no	FR823450
NC_019410	Caulobacter phage CcrKarma	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Caulobacter	Caulobacter crescentus	yes	no	NC_019407
NC_019449	Lactobacillus phage c5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus delbrueckii	yes	no	NC_019449
NC_019486	Lactobacillus phage LF1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus	yes	no	NC_019486
NC_019508	Clostridium phage phiCP34O	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Clostridium	Clostridium perfringens	yes	no	NC_019506
NC_019513	Staphylococcus phage SMSAP5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_019513
NC_019550	Liberibacter phage SC2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Candidatus Liberibacter	Candidatus Liberibacter asiaticus	yes	no	JF773396
NC_019928	Helicobacter phage KHP30	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Helicobacter	Helicobacter pylori	yes	no	NC_019928
NC_019933	Xanthomonas phage CP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Xanthomonas	Xanthomonas citri	yes	no	NC_019933
NC_020078	Cronobacter phage vB_CskP_GAP227	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unclassified phiKMV-like phages.	Cronobacter	Cronobacter sakazakii	yes	no	NC_020078
NC_020197	Streptococcus phage TP-J34	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus thermophilus	yes	no	NC_020197
NC_020484	Pelagibacter phage HTVC008M	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Candidatus Pelagibacter	Candidatus Pelagibacter ubique	yes	no	6666666.43262
NC_020488	Vibrio phage VvAW1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Vibrio	Vibrio vulnificus	yes	no	NC_020488
NC_020490	Staphylococcus phage StB12	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus hominis	yes	no	NC_020490
NC_020837	Synechococcus phage S-CAM1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Synechococcus	Synechococcus	yes	no	NC_020837
NC_020850	Vibrio phage VBM1	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Vibrio	Vibrio parahaemolyticus	yes	no	NC_020850
NC_020856	Sulfitobacter phage pCB2047-C	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Sulfitobacter	Sulfitobacter	yes	no	NC_020856
NC_020880	Leuconostoc phage P793	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Leuconostoc	Leuconostoc pseudomesenteroides	yes	no	NC_020880
NZ_ACSJ01000012	Clostridium phage D-1873	Viruses; unclassified phages.	Clostridium	Clostridium botulinum	yes	no	NZ_ACSJ01000012
NZ_ACSJ01000013	Clostridium phage D-1873	Viruses; unclassified phages.	Clostridium	Clostridium botulinum	yes	no	NZ_ACSJ01000013
Y13918	Pseudomonas phage phiCTX	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_003278
233894.4	Aeromonas phage 25.	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;T4-like viruses.	Aeromonas	Aeromonas	no	yes	233894.4
665883.2	Viruses Lactococcus phage CB13 Viruses.	Viruses.	Lactococcus	Lactococcus	no	yes	665883.2
665886.2	Viruses Lactococcus phage CB19 Viruses.	Viruses.	Lactococcus	Lactococcus	no	yes	665886.2
665887.2	Viruses Lactococcus phage CB20 Viruses.	Viruses.	Lactococcus	Lactococcus	no	yes	665886.2
DQ530360	Staphylococcus aureus phage phiNM2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	no	yes	DQ530360
EF380009	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	no	yes	DQ079883
FJ483838	Enterobacteria phage BZ13	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Levivirus.	Escherichia	Escherichia coli	no	yes	FJ483838
FJ848882	Lactococcus phage CB13	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	665883.2
FJ848885	Lactococcus phage CB20	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	665886.2
GQ303262	Mycobacterium phage LRRHood	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;I3likevirus; unclassified I3-like viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
GQ979703	Lactococcus lactis phage p2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	GQ979703
GU903191	Escherichia phage vB_EcoM_ECO1230-10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Escherichia	Escherichia coli	no	yes	GU903191
HE956711	Yersinia phage phiD1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Yersinia	Yersinia pestis	no	yes	HE956711
HE983844	Pseudomonas phage vB_PaeP_C1-14_Or	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;unclassified Luz24likevirus.	Pseudomonas	Pseudomonas aeruginosa	no	yes	HE983844
HM137666	Enterobacteria phage T4T	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Escherichia	Escherichia coli	no	yes	HM137666
HM152766	Mycobacterium phage Eagle	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.13472
HM368260	Acinetobacter phage AB1	Viruses; unclassified phages.	Acinetobacter	Acinetobacter baumannii	no	yes	HM368260
HQ641348	Vibrio phage ICP1_2006_D	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio cholerae	no	yes	HQ641348
HQ641349	Vibrio phage ICP1_2006_C	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio cholerae	no	yes	HQ641348
HQ641350	Vibrio phage ICP1_2006_B	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio cholerae	no	yes	HQ641348
HQ641351	Vibrio phage ICP1_2006_A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio cholerae	no	yes	HQ641348
HQ641352	Vibrio phage ICP1_2005_A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio cholerae	no	yes	HQ641348
HQ641354	Vibrio phage ICP1_2004_A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio cholerae	no	yes	HQ641348
JF704096	Mycobacterium phage Ghost	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
JF704098	Mycobacterium phage JHC117	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3789
JF704101	Mycobacterium phage Microwolf	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3789
JF704110	Mycobacterium phage PackMan	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3823
JF704114	Mycobacterium phage Vix	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3789
JF704115	Mycobacterium phage Yoshi	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3871
JF704116	Mycobacterium phage Drazdys	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;I3likevirus; unclassified I3-like viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
JF704117	Mycobacterium phage RockyHorror	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3842
JF719729	Enterobacteria phage G4	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	no	yes	JF719729
JF719730	Enterobacteria phage G4	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	no	yes	JF719729
JF719731	Enterobacteria phage G4	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	no	yes	JF719729
JF767210	Clostridium phage phiCP9O	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Clostridium	Clostridium perfringens	no	yes	JF767210
JF792674	Mycobacterium phage Shaka	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.13472
JF937102	Mycobacterium phage Mozy	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3810
JF957060	Mycobacterium phage Timshel	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	JF957060
JN006061	Mycobacterium phage Toto	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.17469
JN006062	Mycobacterium phage Rakim	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.17469
JN020141	Mycobacterium phage Shauna1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	JN020141
JN204348	Mycobacterium phage Sebata	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;I3likevirus; unclassified I3-like viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
JN243856	Mycobacterium phage MeeZee	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.13472
JN254801	Pseudomonas phage MR299-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;unclassified Luz24likevirus.	Pseudomonas	Pseudomonas aeruginosa	no	yes	HE983844
JN412590	Mycobacterium phage Eureka	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.17469
JN561150	Mycobacterium phage TiroTheta9	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.13472
JN699013	Mycobacterium phage Pio	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;I3likevirus; unclassified I3-like viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
JN699625	Mycobacterium phage Wally	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;I3likevirus; unclassified I3-like viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
JQ347801	Escherichia phage JLK-2012	Viruses; unclassified phages.	Escherichia	Escherichia coli	no	yes	JQ347801
JQ740788	Lactococcus Phage ASCC273	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740791	Lactococcus Phage ASCC287	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740793	Lactococcus Phage ASCC324	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740794	Lactococcus Phage ASCC337	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740798	Lactococcus Phage ASCC368	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740799	Lactococcus Phage ASCC395	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740800	Lactococcus Phage ASCC397	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740801	Lactococcus Phage ASCC406	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740802	Lactococcus Phage ASCC454	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740803	Lactococcus Phage ASCC460	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740806	Lactococcus Phage ASCC476	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740810	Lactococcus Phage ASCC506	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740811	Lactococcus Phage ASCC527	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ809701	Mycobacterium phage Flux	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.13472
JQ911768	Mycobacterium phage Ava3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
JX128259	Escherichia phage ECML-134	Viruses; unclassified phages.	Escherichia	Escherichia coli	no	yes	JX128259
JX163858	Caulobacter phage phiCbK	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Caulobacter	Caulobacter crescentus	no	yes	JX163858
JX307703	Mycobacterium phage Sabertooth	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.13472
JX483873	Rhizobium phage RHEph01	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Rhizobium	Rhizobium etli	no	yes	JX483873
KC348599	Streptococcus phage phi30c	Viruses; unclassified phages.	Streptococcus	Streptococcus suis	no	yes	KC348599
KC348601	Streptococcus phage phi7917	Viruses; unclassified phages.	Streptococcus	Streptococcus suis	no	yes	KC348601
KC661271	Mycobacterium phage Dhanush	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.13472
NC_000872	Streptococcus phage Sfi21	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus thermophilus	no	yes	NC_000872
NC_001331	Pseudomonas phage Pf1	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Pseudomonas	Pseudomonas aeruginosa	no	yes	NC_001331
NC_001420	Enterobacteria phage G4 sensu lato	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	no	yes	JF719729
NC_001426	Enterobacteria phage BZ13	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Levivirus.	Escherichia	Escherichia coli	no	yes	NC_001426
NC_001835	Lactococcus phage sk1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	GQ979703
NC_002167	Enterobacteria phage HK97	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus.	Escherichia	Escherichia coli	no	yes	NC_002167
NC_002484	Pseudomonas phage D3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pseudomonas	Pseudomonas aeruginosa	no	yes	NC_002484
NC_002730	Salmonella phage HK620	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	Escherichia	Escherichia coli	no	yes	NC_002730
NC_002747	Lactococcus phage TP901-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	NC_002747
NC_003157	Temperate phage phiNIH1.1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus pyogenes	no	yes	NC_003157
NC_003216	Listeria phage A118	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Listeria	Listeria monocytogenes	no	yes	NC_003216
NC_003444	Enterobacteria phage SfV	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Shigella	Shigella flexneri	no	yes	NC_003444
NC_004302	Lactococcus phage r1t	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	NC_004302
NC_004348	Salmonella phage ST64T	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	Salmonella	Salmonella enterica	no	yes	NC_004348
NC_004462	Thermus phage IN93	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Thermus	Thermus thermophilus	no	yes	NC_004462
NC_004615	Staphylococcus phage 11	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	no	yes	NC_004615
NC_004629	Pseudomonas phage phiKZ	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Phikzlikevirus.	Pseudomonas	Pseudomonas aeruginosa	no	yes	NC_004629
NC_004664	Streptomyces phage phiBT1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Phic3unalikevirus; unclassified Phic3unalikevirus.	Streptomyces	Streptomyces lividans	no	yes	NC_004664
NC_004682	Mycobacterium phage Bxz2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	no	yes	6666666.3789
NC_004687	Mycobacterium phage Bxz1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;I3likevirus; unclassified I3-like viruses.	Mycobacterium	Mycobacterium	no	yes	6666666.3813
NC_004688	Mycobacterium phage Omega	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	no	yes	NC_004688
NC_004736	Vibrio phage VGJphi	Viruses; ssDNA viruses; Inoviridae; Inovirus; unclassified Inovirus.	Vibrio	Vibrio cholerae	no	yes	NC_004736
NC_004902	Xanthomonas phage Xp10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Xanthomonas	Xanthomonas oryzae	no	yes	NC_004902
NC_005262	Burkholderia phage Bcep22	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Burkholderia	Burkholderia cepacia	no	yes	NC_005262
NC_005263	Burkholderia phage Bcep1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Burkholderia	Burkholderia cenocepacia	no	yes	NC_005263
NC_005284	Burkholderia phage phi1026b	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Burkholderia	Burkholderia pseudomallei	no	yes	NC_005284
NC_005340	Enterobacteria phage PsP3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	Salmonella	Salmonella	no	yes	NC_005340
NC_005356	Staphylococcus phage 77	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	no	yes	NC_005356
NC_005948	Vibrio phage Vf33	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Vibrio	Vibrio parahaemolyticus	no	yes	NC_005948
NC_005949	Vibrio phage Vf12	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Vibrio	Vibrio parahaemolyticus	no	yes	NC_005948
NC_006552	Pseudomonas phage F116	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Pseudomonas	Pseudomonas aeruginosa	no	yes	NC_006552
